pdidx,other_indie_consoles,fixed,,
652,,,,
653,,,,
654,,,,
655,,,,
656,,,,
657,,,,
658,,,,
659,,,,
660,,,,
661,,,,
662,,,,
663,Anbernic systems (RG552 ect),,,
663,Miyoo Mini,Miyoo Mini,,
664,Arduboy,,,
664,Miyoo mini,Miyoo Mini,,
665,Anbernic systems (RG552 ect),,,
666,,,,
667,,,,
668,,,,
669,,,,
670,,,,
671,,,,
672,,,,
673,,,,
674,,,,
675,,,,
676,,,,
677,,,,
678,,,,
679,,,,
680,Miyoo Mini (It's a portable system like the RG.),Miyoo Mini,,
681,,,,
682,,,,
683,,,,
684,Arduboy,,,
685,,,,
686,,,,
687,,,,
688,Anbernic systems (RG552 ect),,,
688,Retroid Pocket,,,
689,,,,
690,Anbernic systems (RG552 ect),,,
690,Analogue Pocket,,,
691,,,,
692,,,,
693,,,,
694,,,,
695,,,,
696,Arduboy,,,
697,,,,
698,,,,
699,Arduboy,,,
699,ClockworkPi Gameshell and PocketCHIP,ClockworkPi,,
700,Arduboy,,,
701,,,,
702,,,,
703,,,,
704,,,,
705,,,,
706,,,,
707,Retroid Pocket,,,
708,,,,
709,,,,
710,,,,
711,Anbernic systems (RG552 ect),,,
711,Retroid Pocket,,,
712,Funkey S,Funkey S,,
713,,,,
714,,,,
715,,,,
716,,,,
717,,,,
718,Retron 5,Other,,
719,,,,
720,Arduboy,,,
720,Pocket Sprite and FunKey S,Funkey S,,
721,,,,
722,,,,
723,,,,
724,Anbernic systems (RG552 ect),,,
725,,,,
726,Evercade,Evercade,,
727,,,,
728,,,,
729,,,,
730,Miyoo Mini,Miyoo Mini,,
731,,,,
732,,,,
733,,,,
734,,,,
735,,,,
736,,,,
737,,,,
738,,,,
739,,,,
740,Thumby,Thumby,,
741,,,,
742,,,,
743,,,,
744,,,,
745,,,,
746,,,,
747,,,,
748,Arduboy,,,
749,,,,
750,,,,
751,,,,
752,,,,
753,,,,
754,,,,
