timestamp,fixed,have_playdate,have_ordered
7/1/2022 15:33:14,,True,True
7/1/2022 15:33:59,,True,True
7/1/2022 15:35:28,daily driver,True,True
7/1/2022 15:35:41,,False,True
7/1/2022 15:37:05,,True,True
7/1/2022 15:41:05,mars after midnight,True,True
7/1/2022 15:42:15,,True,True
7/1/2022 15:45:07,daily driver,True,True
7/1/2022 15:46:18,wastebraver tiny survival tale,True,True
7/1/2022 15:49:25,wastebraver tiny survival tale,True,True
7/1/2022 15:49:52,pullfrog,True,True
7/1/2022 15:50:19,wastebraver tiny survival tale,True,True
7/1/2022 15:54:27,,False,True
7/1/2022 15:55:20,grand tour legends,True,True
7/1/2022 15:56:01,,True,True
7/1/2022 15:56:36,,True,True
7/1/2022 15:56:49,p-racing,True,True
7/1/2022 15:58:14,,False,True
7/1/2022 15:58:55,,True,True
7/1/2022 16:05:54,bloom,False,True
7/1/2022 16:08:07,,True,True
7/1/2022 16:08:52,,True,True
7/1/2022 16:22:16,grand tour legends,False,True
7/1/2022 16:27:01,,True,True
7/1/2022 16:30:21,atlantic 41,True,True
7/1/2022 16:45:16,,True,True
7/1/2022 16:45:52,,True,True
7/1/2022 16:49:28,bloom,False,True
7/1/2022 16:50:21,mars after midnight,False,True
7/1/2022 16:55:55,wastebraver tiny survival tale,True,True
7/1/2022 16:58:39,,True,True
7/1/2022 17:03:24,,True,True
7/1/2022 17:06:42,,True,True
7/1/2022 17:15:27,bloom,False,True
7/1/2022 17:15:57,,True,True
7/1/2022 17:16:20,,True,True
7/1/2022 17:22:24,bloom,True,True
7/1/2022 17:27:47,mars after midnight,True,True
7/1/2022 17:34:48,mars after midnight,True,True
7/1/2022 17:36:39,,False,True
7/1/2022 17:38:02,,True,True
7/1/2022 17:38:26,,False,True
7/1/2022 17:38:43,daily driver,False,True
7/1/2022 17:39:30,,True,True
7/1/2022 17:41:10,other,True,True
7/1/2022 17:55:52,,True,True
7/1/2022 17:57:21,,True,True
7/1/2022 18:02:27,other,False,True
7/1/2022 18:02:30,,False,True
7/1/2022 18:03:19,,False,True
7/1/2022 18:04:09,daily driver,True,True
7/1/2022 18:11:41,,False,True
7/1/2022 18:12:39,,True,True
7/1/2022 18:14:41,,True,True
7/1/2022 18:19:59,,True,True
7/1/2022 18:21:42,,True,True
7/1/2022 18:23:46,other,True,True
7/1/2022 18:27:14,,True,True
7/1/2022 18:27:55,,True,True
7/1/2022 18:32:50,,False,False
7/1/2022 18:38:25,,False,True
7/1/2022 18:38:29,other,True,True
7/1/2022 18:40:04,bloom,False,False
7/1/2022 18:41:47,,False,True
7/1/2022 18:43:48,mars after midnight,True,True
7/1/2022 18:43:50,,True,True
7/1/2022 18:49:14,cranner,True,True
7/1/2022 18:55:43,wastebraver tiny survival tale,False,True
7/1/2022 18:57:59,,True,True
7/1/2022 18:58:43,,False,True
7/1/2022 18:59:58,bloom,False,True
7/1/2022 19:00:09,,False,True
7/1/2022 19:02:23,daily driver,True,True
7/1/2022 19:04:18,,True,True
7/1/2022 19:04:25,,False,True
7/1/2022 19:04:59,,False,True
7/1/2022 19:08:04,p-racing,True,True
7/1/2022 19:08:30,,True,True
7/1/2022 19:09:17,wastebraver tiny survival tale,True,True
7/1/2022 19:10:10,other,False,True
7/1/2022 19:10:51,bloom,True,True
7/1/2022 19:12:14,poolsuite fm,True,True
7/1/2022 19:14:28,,True,True
7/1/2022 19:14:28,wastebraver tiny survival tale,False,True
7/1/2022 19:21:08,other,False,True
7/1/2022 19:24:22,,True,True
7/1/2022 19:24:25,voyage,False,True
7/1/2022 19:41:11,,True,True
7/1/2022 19:49:26,voyage,True,True
7/1/2022 19:52:07,,True,True
7/1/2022 19:54:01,,True,True
7/1/2022 19:55:37,,True,True
7/1/2022 20:06:11,playmaker,True,True
7/1/2022 20:07:47,,True,True
7/1/2022 20:10:19,crank turismo,False,True
7/1/2022 20:22:29,,False,True
7/1/2022 20:25:27,,False,True
7/1/2022 20:45:09,mars after midnight,True,True
7/1/2022 20:47:26,,True,True
7/1/2022 20:47:45,,False,True
7/1/2022 20:48:29,bloom,False,True
7/1/2022 20:50:01,,False,False
7/1/2022 21:01:01,,True,True
7/1/2022 21:10:34,,False,False
7/1/2022 21:11:43,,True,True
7/1/2022 21:17:10,,False,True
7/1/2022 21:19:31,,False,True
7/1/2022 21:25:58,pullfrog,False,False
7/1/2022 21:41:04,,True,True
7/1/2022 21:42:11,bloom,False,True
7/1/2022 21:52:08,,False,True
7/1/2022 21:54:58,,True,True
7/31/2022 21:59:58,tapeworm,True,True
7/1/2022 22:00:32,,False,True
7/1/2022 22:03:19,,True,True
7/1/2022 22:13:20,,True,True
7/1/2022 22:27:22,,False,False
7/1/2022 22:31:18,mars after midnight,True,True
7/1/2022 22:31:41,,True,True
7/1/2022 22:32:13,gravity express,True,True
7/1/2022 22:39:14,,True,True
7/1/2022 22:45:26,,False,True
7/1/2022 22:47:14,,True,True
7/1/2022 22:58:31,,True,True
7/1/2022 22:59:09,grand tour legends,False,False
7/1/2022 23:01:52,,False,False
7/1/2022 23:04:37,grand tour legends,True,True
7/1/2022 23:06:40,,False,True
7/1/2022 23:07:37,,False,False
7/1/2022 23:08:03,,False,True
7/1/2022 23:12:33,,False,True
7/1/2022 23:23:22,p-racing,False,True
7/1/2022 23:45:06,,False,True
7/1/2022 23:53:46,,True,True
7/1/2022 23:54:51,voyage,True,True
7/1/2022 23:58:02,bloom,False,True
7/2/2022 0:00:08,,True,True
7/2/2022 0:05:45,mars after midnight,True,True
7/2/2022 0:08:34,,True,True
7/2/2022 0:10:34,,True,True
7/2/2022 0:13:41,,False,True
7/2/2022 0:23:20,,True,True
7/2/2022 0:26:10,,True,True
7/2/2022 0:27:29,crank turismo,True,True
7/2/2022 0:28:26,other,True,True
7/2/2022 0:36:01,,False,True
7/2/2022 0:41:18,,False,False
7/2/2022 0:41:26,,False,True
7/2/2022 0:56:40,,False,True
7/2/2022 0:57:57,mars after midnight,True,True
7/2/2022 1:03:48,,True,True
7/2/2022 1:11:31,,True,True
7/2/2022 1:15:04,,False,True
7/2/2022 1:16:37,,True,True
7/2/2022 1:28:49,,False,False
7/2/2022 1:31:18,,False,True
7/2/2022 1:36:58,,True,True
7/2/2022 1:37:27,wastebraver tiny survival tale,True,True
7/2/2022 1:38:39,,True,True
7/2/2022 1:41:39,,False,True
7/2/2022 1:48:33,,True,True
7/2/2022 1:50:47,wastebraver tiny survival tale,True,True
7/2/2022 1:55:23,,False,False
7/2/2022 1:58:18,wastebraver tiny survival tale,True,True
7/2/2022 2:04:20,,True,True
7/2/2022 2:13:27,daily driver,True,True
7/2/2022 2:18:35,,True,True
7/2/2022 2:20:25,other,True,True
7/2/2022 2:30:37,wastebraver tiny survival tale,True,True
7/2/2022 2:34:22,,False,True
7/2/2022 2:49:08,playmaker,True,True
7/2/2022 2:49:23,wastebraver tiny survival tale,True,True
7/2/2022 2:56:22,,True,True
7/2/2022 2:59:03,,True,True
7/2/2022 3:00:44,,False,True
7/2/2022 3:05:40,bloom,True,True
7/2/2022 3:06:23,grand tour legends,True,True
7/2/2022 3:08:51,,True,True
7/2/2022 3:14:20,,True,True
7/2/2022 3:14:42,mars after midnight,True,True
7/2/2022 3:15:05,,False,True
7/2/2022 3:34:42,wastebraver tiny survival tale,True,True
